Frame Info: 
Type,Depth
Format,Z16
Frame Number,6324
Timestamp (ms),1677006613042.86
Resolution x,848
Resolution y,480
Bytes per pixel,2

Intrinsic:,
Fx,425.377533
Fy,425.377533
PPx,425.227509
PPy,239.593643
Distorsion,Brown Conrady
